pl_name, points, dist(pa), ra(deg), dec(deg), magn, mas
EPIC 205950854 c,2.453831755320116,243.9350000,333.1100738,-16.3418863,no data,no data,
EPIC 206024342 b,2,369.8880000,331.2771441,-14.1218019,no data,no data,
EPIC 206024342 c,3.397624039133473,369.8880000,331.2771441,-14.1218019,no data,no data,
EPIC 206024342 d,3.397624039133473,369.8880000,331.2771441,-14.1218019,no data,no data,
EPIC 206032309 b,0,161.3650000,341.2404563,-13.9011223,no data,no data,
EPIC 206042996 b,2.944579484686437,451.7690000,337.5136198,-13.6101475,no data,no data,
EPIC 206042996 c,2.944579484686437,451.7690000,337.5136198,-13.6101475,no data,no data,
EPIC 206215704 b,2,109.8880000,335.0949721,-9.5097112,no data,no data,
EPIC 206317286 b,1,314.3500000,337.6178427,-7.9724560,no data,no data,
EPIC 206317286 c,2.6835016835016834,314.3500000,337.6178427,-7.9724560,no data,no data,
EPIC 211822797 b,4.56818812204508,186.1970000,130.4102091,17.6399744,34.216640829869675,0.641793369388336,
EPIC 211945201 b,1.3181743285549514,181.6900000,136.5741931,19.4020565,27.33549406847571,0.8217293191700148,
EPIC 212297394 b,2.5470895378070004,418.3950000,207.2061241,-17.6098985,no data,no data,
EPIC 212297394 c,2.5470895378070004,418.3950000,207.2061241,-17.6098985,no data,no data,
EPIC 212424622 b,0,611.8040000,202.3313765,-14.3594358,no data,no data,
EPIC 212499991 b,0,283.2900000,202.4887520,-12.7347749,no data,no data,
EPIC 212587672 b,2.3324450366422385,320.0700000,205.4445125,-10.8625468,no data,no data,
EPIC 212587672 c,2.3324450366422385,320.0700000,205.4445125,-10.8625468,no data,no data,
EPIC 212624936 b,2.3876843018213356,561.9290000,210.6376171,-10.0236852,no data,no data,
EPIC 212624936 c,2.3876843018213356,561.9290000,210.6376171,-10.0236852,no data,no data,
EPIC 212737443 b,4.795628497138559,336.2500000,204.2215065,-7.3180577,32.81629522270725,0.29144981412639404,
EPIC 212737443 c,5.707941929974381,336.2500000,204.2215065,-7.3180577,35.0103362036657,0.8327137546468403,
EPIC 220492298 b,1.4234875444839858,624.5120000,16.7615005,6.5887980,no data,no data,
EPIC 220554210 c,2.4548099654482636,496.2890000,13.4321524,7.9952914,no data,no data,
